#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.87;0.7;18;0;0;0;0;0;0;0;0;0
1199.87;0.69;18;0;0;0;0;0;0;0;0;0
1799.99;0.69;18;0;0;0;0;0;0;0;0;0
2399.95;0.68;18;0;0;0;0;0;0;0;0;0
2999.7;0.68;18;0;0;0;0;0;0;0;0;0
3599.81;0.67;18;0;0;0;0;0;0;0;0;0
4199.97;0.67;18;0;0;0;0;0;0;0;0;0
4799.99;0.66;18;0;0;0;0;0;0;0;0;0
5399.59;0.66;18;0;0;0;0;0;0;0;0;0
5999.94;0.66;18;0;0;0;0;0;0;0;0;0
6599.9;0.66;18;0;0;0;0;0;0;0;0;0
7199.71;0.66;18;0;0;0;0;0;0;0;0;0
