#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;34.72;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.99;35.9;0.2;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.98;36.17;0.22;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.96;36.18;0.25;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.74;36.34;0.27;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
299.96;36.34;0.27;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
359.86;36.41;0.28;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
419.96;36.9;0.3;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
479.8;38.13;0.31;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
539.9;38.13;0.31;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
599.98;38.13;0.31;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0.02,RP/0
