#TimeStamp;Runtime;Requests
0.88;0.02;6
2.93;0;1
4.02;0;1
5.05;0;3
6.05;0;1
7.19;0;1
8.56;0;1
9.86;0;1
14.06;0;1
15.36;0;1
19.94;0;1
42.58;0;1
43.67;0;1
44.79;0;1
46.09;0;3
48.09;0;2
49.39;0;1
50.72;0;2
52.01;0;2
53.14;0;1
54.23;0;1
55.32;0;3
56.39;0;1
57.99;0;1
59.24;0;1
60.45;0;2
61.82;0;1
62.91;0;2
64.08;0;1
65.37;0;2
67.32;0;1
68.46;0;2
70.5;0;1
71.57;0;2
72.62;0;1
74;0;1
75.07;0;1
76.16;0;1
77.3;0;1
78.58;0;2
79.76;0;2
81.04;0;2
83.51;0;1
86.96;0;1
88.84;0;1
90.34;0;1
91.43;0;1
95.6;0;1
98.75;0;2
100;0;1
101.63;0;1
107.08;0;1
108.27;0;1
109.28;0;2
115.11;0;1
119.08;0;1
120.44;0;1
121.45;0;1
123.42;0;1
124.56;0;1
125.62;0;1
129.12;0;2
132.06;0;1
134.57;0;1
137.19;0;1
138.28;0;1
140.82;0;1
141.85;0;2
142.87;0;2
143.89;0;2
145.34;0;1
146.34;0;3
147.34;0;3
148.39;0;1
149.39;0;2
150.48;0;3
152.39;0;1
153.48;0;1
154.65;0;1
155.74;0;1
158.19;0;1
159.48;0;1
160.6;0;1
161.77;0;2
162.94;0;2
164.19;0;1
165.48;0;1
167.06;0;1
168.23;0;2
169.32;0;1
170.74;0;1
171.99;0;1
174.01;0;1
175.08;0;1
178.24;0;1
179.29;0;1
180.71;0;2
184.38;0;1
185.47;0;1
186.6;0;2
187.88;0;1
189.92;0;1
191.22;0;1
192.22;0;1
193.39;0;1
194.73;0;2
196.55;0;1
197.56;0;1
198.98;0;1
200.46;0;1
201.55;0;1
204.1;0;1
206.59;0;2
208.63;0;1
209.72;0;2
210.81;0;2
212.13;0;1
214.56;0;1
215.64;0;1
216.75;0;1
217.87;0;1
219.06;0;2
220.42;0;1
221.51;0;2
223.23;0;1
224.51;0;1
226.35;0;1
227.44;0;1
231.01;0;1
232.99;0;1
235.18;0;1
237.82;0;1
239.1;0;1
243.29;0;1
244.54;0;1
246.58;0;1
248.03;0;1
254.09;0;1
256.76;0;1
340.93;0;1
342.02;0;2
343.31;0;1
346.43;0;1
347.47;0;2
348.56;0;1
349.56;0;1
350.65;0;1
352.2;0;1
353.34;0;1
354.7;0;1
355.79;0;1
358.87;0;1
360;0;1
361.26;0;1
362.79;0;1
365.46;0;2
367.17;0;1
368.46;0;1
370.06;0;1
371.36;0;3
372.63;0;1
373.82;0;2
376.8;0;1
377.94;0;1
379.28;0;1
380.46;0;1
383.33;0;1
384.53;0;2
385.57;0;2
388.03;0;1
389.39;0;1
390.78;0;1
391.87;0;1
392.89;0;1
393.96;0;1
395.36;0;1
396.42;0;1
397.61;0;1
399.66;0;1
408.55;0;1
409.8;0;1
410.89;0;1
413.16;0;1
414.25;0;1
416.37;0;1
418.16;0;1
419.5;0;1
420.84;0;3
422.64;0;1
423.64;0;1
425.68;0;1
426.98;0;1
430.34;0;1
432.27;0;1
433.64;0;2
436.31;0;1
439.09;0;1
441.29;0;1
443.77;0;1
445.18;0;1
448.72;0;1
449.81;0;1
453.11;0;1
458.36;0;1
