#TimeStamp,OutputStation,TurnoverTime,ThroughputTime,Lateness
146.74,0,138.02,138.01,#NAME?
178.96,0,141.01,141.01,#NAME?
220.75,0,171.27,171.27,#NAME?
531.69,1,301.76,301.76,#NAME?
538.75,0,487.53,487.53,#NAME?
541.71,1,323.35,323.35,#NAME?
666.01,0,591.37,591.37,#NAME?
981.61,1,743.88,743.88,#NAME?
992.04,0,914.49,914.49,#NAME?
1072.59,0,997.42,997.4,#NAME?
1131.08,1,896.05,896.05,#NAME?
1132.12,0,1032.91,1032.91,#NAME?
1170.19,0,1085.84,1085.8,#NAME?
1298.56,1,1039.54,1039.54,#NAME?
1304.48,0,1194.24,1194.24,#NAME?
1366.75,0,1220.27,1220.27,#NAME?
1449.08,1,1164.04,1164.04,#NAME?
1510.58,1,1207.28,1207.23,#NAME?
1626.47,0,1473.91,1473.91,#NAME?
1915.72,0,1737.95,1737.95,#NAME?
1997.4,1,1685.85,1685.85,#NAME?
2051.71,1,1716.53,1716.53,#NAME?
2123.19,1,1758.34,1758.34,#NAME?
2134.15,0,1928.23,1928.23,#NAME?
2179.3,0,1952.56,1952.56,#NAME?
2315.35,0,1886.71,1649.29,#NAME?
2345.57,1,1942.99,1942.99,#NAME?
2346.19,0,1869.66,719.64,#NAME?
2387.09,0,1983.86,1847.94,#NAME?
2450.4,0,1995.12,1083.27,#NAME?
2475.1,1,2125.14,2125.14,#NAME?
2554.25,1,2148.7,2022.52,#NAME?
2650.75,1,2224.13,2108.97,#NAME?
2740.12,1,2303.57,1608.94,#NAME?
2788.55,0,2257.13,1715.58,#NAME?
2972.64,0,2486.13,521.84,#NAME?
2987.77,0,2451.66,1995.45,#NAME?
3048.58,0,2206.46,1916.39,#NAME?
3076.2,1,2550.91,521.88,#NAME?
3116.09,1,2552.02,1666.96,#NAME?
3178.17,0,2108.1,2007.75,#NAME?
3215.33,1,2335,1092.06,#NAME?
3246.6,1,2633.07,170.07,#NAME?
3377.64,1,2491.34,2395.62,#NAME?
3423.63,1,2388.98,2125.03,#NAME?
3493.24,0,2983.62,314.81,#NAME?
3567.36,1,3054.66,143.47,#NAME?
3720.86,0,2600.26,2416.25,#NAME?
3813.87,1,2743.02,2303.13,#NAME?
4080.26,1,3522.69,266.34,#NAME?
4187.71,0,3041.56,2008.37,#NAME?
4203.69,0,3686.69,482.78,#NAME?
4284.04,0,3095.3,2368.03,#NAME?
4326.17,1,3720.31,245.86,#NAME?
4415.86,1,3804.27,89.4,#NAME?
4488.82,1,3392.88,2013.4,#NAME?
4493.47,0,2972.01,2106.22,#NAME?
4754.06,0,4070.94,260.25,#NAME?
4820.48,1,4176.54,331.44,#NAME?
4866.58,1,3343.19,1650.89,#NAME?
4956.14,0,3181.6,2640.58,#NAME?
5227.47,1,4114.88,2487.27,#NAME?
5292.04,0,3458.74,3157.76,#NAME?
5348.62,1,4697.73,481.99,#NAME?
5413.02,1,3840.06,592.35,#NAME?
5544.33,1,4826.87,131.2,#NAME?
5554.05,0,4324.49,261.61,#NAME?
5699.53,1,3882.88,3353.72,#NAME?
5785.34,0,5045.06,231.01,#NAME?
5856.32,1,4032.21,3858.66,#NAME?
5973.1,1,5101.17,116.73,#NAME?
5976.91,0,3896.95,2483.47,#NAME?
6018.41,0,5157.69,232.97,#NAME?
6213.1,0,5213.59,194.42,#NAME?
6267.2,0,4565.46,290.03,#NAME?
6338.71,1,4494.76,4286.96,#NAME?
6393.01,0,4404.9,179.87,#NAME?
6542.41,0,4340.39,2338.44,#NAME?
6569.04,1,5644.88,229.95,#NAME?
6682.8,0,5277.81,140.3,#NAME?
6850.39,0,5631.7,167.48,#NAME?
6909.11,1,4972.33,3662.32,#NAME?
7000.84,0,4769.56,4654.59,#NAME?
7011.95,1,5324.96,102.67,#NAME?
7165.54,1,4685.64,4514.63,#NAME?
